seed,steady_state_step,framework,phase,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,specificity,f1_score,balanced_accuracy,event_coverage,volume_coverage,eligible_success_rate
7001,549,ISF,coarse,0.8,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,ISF,coarse,0.9,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,ISF,coarse,1.0,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse_and_refined,0.0,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.01,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.02,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.03,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.04,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.05,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.06,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.07,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.08,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,refined,0.09,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,coarse_and_refined,0.1,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DBL,coarse,0.2,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.3,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.4,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.5,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.6,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.7,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.8,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,0.9,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DBL,coarse,1.0,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse_and_refined,0.0,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.01,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.02,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.03,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.04,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.05,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.06,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.07,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.08,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,refined,0.09,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,coarse_and_refined,0.1,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,DMM,coarse,0.2,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.3,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.4,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.5,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.6,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.7,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.8,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,0.9,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,DMM,coarse,1.0,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse_and_refined,0.0,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.01,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.02,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.03,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.04,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.05,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.06,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.07,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.08,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,refined,0.09,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,coarse_and_refined,0.1,1352,8648,0,0,0.1352,1.0,0.0,0.23819591261451725,0.5,1.0,1.0,0.1352
7002,599,ISF,coarse,0.2,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.3,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.4,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.5,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.6,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.7,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.8,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,0.9,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7002,599,ISF,coarse,1.0,0,0,1352,8648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7003,549,DBL,coarse_and_refined,0.0,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.01,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.02,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.03,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.04,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.05,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.06,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.07,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.08,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,refined,0.09,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
7003,549,DBL,coarse_and_refined,0.1,1394,8606,0,0,0.1394,1.0,0.0,0.2446901878181499,0.5,1.0,1.0,0.1394
